date,series_id,sales
2014-04-28,CA_FOODS,9765
2014-04-28,CA_HOBBIES,1405
2014-04-28,CA_HOUSEHOLD,3331
2014-04-28,TOTAL,31508
2014-04-28,TX_FOODS,6800
2014-04-28,TX_HOBBIES,756
2014-04-28,TX_HOUSEHOLD,2247
2014-04-28,WI_FOODS,5134
2014-04-28,WI_HOBBIES,574
2014-04-28,WI_HOUSEHOLD,1496
2014-04-29,CA_FOODS,9053
2014-04-29,CA_HOBBIES,1300
2014-04-29,CA_HOUSEHOLD,3037
2014-04-29,TOTAL,29865
2014-04-29,TX_FOODS,5947
2014-04-29,TX_HOBBIES,596
2014-04-29,TX_HOUSEHOLD,1930
2014-04-29,WI_FOODS,5737
2014-04-29,WI_HOBBIES,738
2014-04-29,WI_HOUSEHOLD,1527
2014-04-30,CA_FOODS,8888
2014-04-30,CA_HOBBIES,1408
2014-04-30,CA_HOUSEHOLD,2834
2014-04-30,TOTAL,28883
2014-04-30,TX_FOODS,5475
2014-04-30,TX_HOBBIES,625
2014-04-30,TX_HOUSEHOLD,2080
2014-04-30,WI_FOODS,5106
2014-04-30,WI_HOBBIES,644
2014-04-30,WI_HOUSEHOLD,1823
2014-05-01,CA_FOODS,10736
2014-05-01,CA_HOBBIES,1473
2014-05-01,CA_HOUSEHOLD,3320
2014-05-01,TOTAL,33859
2014-05-01,TX_FOODS,6576
2014-05-01,TX_HOBBIES,698
2014-05-01,TX_HOUSEHOLD,2339
2014-05-01,WI_FOODS,5554
2014-05-01,WI_HOBBIES,773
2014-05-01,WI_HOUSEHOLD,2390
2014-05-02,CA_FOODS,11966
2014-05-02,CA_HOBBIES,1875
2014-05-02,CA_HOUSEHOLD,3685
2014-05-02,TOTAL,38951
2014-05-02,TX_FOODS,6691
2014-05-02,TX_HOBBIES,650
2014-05-02,TX_HOUSEHOLD,2444
2014-05-02,WI_FOODS,8125
2014-05-02,WI_HOBBIES,973
2014-05-02,WI_HOUSEHOLD,2542
2014-05-03,CA_FOODS,13324
2014-05-03,CA_HOBBIES,2194
2014-05-03,CA_HOUSEHOLD,4802
2014-05-03,TOTAL,46542
2014-05-03,TX_FOODS,8857
2014-05-03,TX_HOBBIES,935
2014-05-03,TX_HOUSEHOLD,2958
2014-05-03,WI_FOODS,9649
2014-05-03,WI_HOBBIES,950
2014-05-03,WI_HOUSEHOLD,2873
